Profile,Player,Position,Season,Year,Team,Number,Games,Goals,Assists,Penalties,Shots,Wins,Losses,Shootouts,Goals_against,Saves,Saves_percentage,Goals_against_average,Shutouts,Icetime,Icetime_seconds
https://en.khl.ru/players/19211/,Maxim Tretyak,Goalie,Regular season,2018/2019,Dinamo (Riga),20.0,1,0,0,0,14,0,1,0,2,12,85.7,5.19,0,23:08,1388
https://en.khl.ru/players/19211/,Maxim Tretyak,Goalie,Regular season,2018/2019,Summary:,,1,0,0,0,14,0,1,0,2,12,85.7,5.19,0,23:08,1388
https://en.khl.ru/players/19211/,Maxim Tretyak,Goalie,Regular season,2017/2018,Admiral (Vladivostok),50.0,1,0,0,0,22,0,1,0,2,20,90.9,2.07,0,57:58,3478
https://en.khl.ru/players/19211/,Maxim Tretyak,Goalie,Regular season,2017/2018,Summary:,,1,0,0,0,22,0,1,0,2,20,90.9,2.07,0,57:58,3478
https://en.khl.ru/players/19211/,Maxim Tretyak,Goalie,Regular season,2016/2017,Admiral (Vladivostok),50.0,4,0,0,0,82,1,2,0,7,75,91.5,2.29,0,183:07,10987
https://en.khl.ru/players/17562/,Igor Ustinsky,Goalie,Regular season,2017/2018,Avtomobilist (Ekaterinburg),40.0,2,0,0,0,13,0,0,0,0,13,100.0,0.0,0,29:13,1753
https://en.khl.ru/players/17562/,Igor Ustinsky,Goalie,Regular season,2016/2017,Avtomobilist (Ekaterinburg),40.0,27,0,0,2,725,6,13,4,69,656,90.5,2.79,0,1484:28,89068
https://en.khl.ru/players/17562/,Igor Ustinsky,Goalie,Playoffs,2015/2016,Avtomobilist (Ekaterinburg),40.0,5,0,0,0,155,1,3,0,11,144,92.9,2.37,0,278:14,16694
https://en.khl.ru/players/17562/,Igor Ustinsky,Goalie,Regular season,2015/2016,Avtomobilist (Ekaterinburg),40.0,25,0,0,0,638,11,6,5,51,587,92.0,2.35,3,1299:29,77969
https://en.khl.ru/players/17562/,Igor Ustinsky,Goalie,Regular season,2014/2015,Avtomobilist (Ekaterinburg),61.0,3,0,0,0,34,0,0,1,2,32,94.1,1.22,0,98:35,5915
https://en.khl.ru/players/4089/,Alexander Vyukhin,Goalie,Playoffs,2010/2011,Lokomotiv (Yaroslavl),35.0,9,0,0,0,210,3,4,0,19,191,91.0,2.64,0,432:02,25922
https://en.khl.ru/players/4089/,Alexander Vyukhin,Goalie,Regular season,2010/2011,Lokomotiv (Yaroslavl),35.0,10,0,0,6,217,7,2,0,17,200,92.2,2.05,1,497:31,29851
https://en.khl.ru/players/4089/,Alexander Vyukhin,Goalie,Regular season,2010/2011,Metallurg (Novokuznetsk),35.0,23,0,0,2,706,4,14,2,60,646,91.5,2.84,0,1268:22,76102
https://en.khl.ru/players/4089/,Alexander Vyukhin,Goalie,Regular season,2010/2011,Summary:,,33,0,0,8,923,11,16,2,77,846,91.7,2.62,1,1765:53,105953
https://en.khl.ru/players/4089/,Alexander Vyukhin,Goalie,Regular season,2009/2010,Metallurg (Novokuznetsk),35.0,25,0,1,4,640,5,16,1,63,577,90.2,2.68,0,1411:04,84664
