Profile,Player,Role,Year,Season,Team_id,Date,Home_team,Away_team,Home_score,Away_score,Length,Number,Goals,Assists,Penalties,Shots,Icetime,Icetime_seconds,Wins,Losses,Shootouts,Goals_against,Saves,Saves_percentage,Goals_against_average,Shutouts
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-09-04,Traktor,Lokomotiv,2,5,Standard,74,0,0,0,8,17:42,1062,0,1,0,3,5,62.5,10.17,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-09-07,Traktor,SKA,3,4,Shootouts,74,0,0,0,21,65:00,3900,0,0,1,3,18,85.7,2.77,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-09-11,Barys,Traktor,3,4,Standard,74,0,0,0,29,60:00,3600,1,0,0,3,26,89.7,3.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-09-13,Khimik,Traktor,0,5,Standard,74,0,0,0,25,60:00,3600,1,0,0,0,25,100.0,0.0,1
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-09-15,Avangard,Traktor,3,6,Standard,74,0,0,0,23,60:00,3600,1,0,0,3,20,87.0,3.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-09-20,Traktor,Neftekhimik,4,3,Shootouts,74,0,0,0,3,2:36,156,0,0,0,2,1,33.3,46.15,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-09-23,Traktor,Lada,2,6,Standard,74,0,0,0,26,45:19,2719,0,1,0,4,22,84.6,5.3,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-09-26,Traktor,Metallurg Mg,1,3,Standard,74,0,0,0,19,60:00,3600,0,1,0,3,16,84.2,3.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-10-04,Metallurg Mg,Traktor,5,1,Standard,74,0,0,0,20,60:00,3600,0,1,0,5,15,75.0,5.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-10-09,Sibir,Traktor,5,1,Standard,74,0,0,0,7,19:07,1147,0,0,0,1,6,85.7,3.14,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-10-11,Metallurg Nk,Traktor,3,2,Overtime,74,0,0,0,19,60:42,3642,0,1,0,3,16,84.2,2.97,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-10-14,Traktor,HC MVD,3,1,Standard,74,0,0,0,22,60:00,3600,1,0,0,1,21,95.5,1.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-10-21,Traktor,Torpedo,3,2,Standard,74,0,1,0,19,60:00,3600,1,0,0,2,17,89.5,2.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-10-23,Traktor,Atlant,2,1,Standard,74,0,0,0,24,60:00,3600,1,0,0,1,23,95.8,1.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-10-27,Vityaz,Traktor,3,1,Standard,74,0,0,0,32,58:59,3539,0,1,0,2,30,93.8,2.03,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-10-29,CSKA,Traktor,0,1,Standard,74,0,0,0,14,60:00,3600,1,0,0,0,14,100.0,0.0,1
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-10-31,Spartak,Traktor,4,0,Standard,74,0,0,0,24,60:00,3600,0,1,0,4,20,83.3,4.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-11-13,Traktor,Khimik,3,1,Standard,74,0,0,0,23,60:00,3600,1,0,0,1,22,95.7,1.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-11-15,Traktor,Dinamo R,4,3,Standard,74,0,0,0,26,60:00,3600,1,0,0,3,23,88.5,3.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-11-17,Traktor,Dinamo Mn,5,2,Standard,74,0,0,0,27,60:00,3600,1,0,0,2,25,92.6,2.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-11-19,Traktor,Dynamo M,3,1,Standard,74,0,0,0,30,60:00,3600,1,0,0,1,29,96.7,1.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-11-24,Dinamo Mn,Traktor,3,2,Standard,74,0,0,0,28,59:32,3572,0,1,0,3,25,89.3,3.02,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-11-26,Dinamo R,Traktor,5,0,Standard,74,0,0,0,13,20:00,1200,0,0,0,1,12,92.3,3.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-11-28,Dynamo M,Traktor,4,3,Overtime,74,0,0,0,33,61:22,3682,0,1,0,4,29,87.9,3.91,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-11-30,HC MVD,Traktor,5,2,Standard,74,0,0,0,28,60:00,3600,0,1,0,5,23,82.1,5.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-12-04,Traktor,SKA,4,1,Standard,74,0,0,0,23,60:00,3600,1,0,0,1,22,95.7,1.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-12-06,Traktor,CSKA,5,1,Standard,74,0,0,0,46,60:00,3600,1,0,0,1,45,97.8,1.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-12-08,Traktor,Vityaz,5,4,Standard,74,0,0,2,36,60:00,3600,1,0,0,4,32,88.9,4.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-12-10,Traktor,Spartak,1,4,Standard,74,0,0,0,25,59:09,3549,0,1,0,3,22,88.0,3.04,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2009-01-13,Salavat Yulaev,Traktor,4,1,Standard,74,0,0,0,7,23:52,1432,0,1,0,3,4,57.1,7.54,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2009-01-17,Traktor,Metallurg Mg,3,2,Standard,74,0,0,0,18,60:00,3600,1,0,0,2,16,88.9,2.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2009-01-24,Khimik,Traktor,3,2,Overtime,74,0,0,0,24,61:18,3678,0,1,0,3,21,87.5,2.94,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2009-01-26,Lada,Traktor,4,1,Standard,74,0,0,0,23,41:47,2507,0,1,0,3,20,87.0,4.31,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2009-01-28,Ak Bars,Traktor,6,2,Standard,74,0,0,0,25,60:00,3600,0,1,0,6,19,76.0,6.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2009-02-16,Traktor,Khimik,4,1,Standard,74,0,0,0,18,60:00,3600,1,0,0,1,17,94.4,1.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2009-02-20,CSKA,Traktor,2,1,Shootouts,74,0,0,0,32,65:00,3900,0,0,1,1,31,96.9,0.92,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2009-02-22,Severstal,Traktor,3,0,Standard,74,0,0,0,7,21:54,1314,0,1,0,2,5,71.4,5.48,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2009-02-24,SKA,Traktor,3,2,Shootouts,74,0,0,0,31,65:00,3900,0,0,1,2,29,93.5,1.85,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Playoffs,25,2009-03-01,Atlant,Traktor,3,0,Standard,74,0,0,0,31,60:00,3600,0,1,0,3,28,90.3,3.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Playoffs,25,2009-03-02,Atlant,Traktor,5,1,Standard,74,0,0,0,21,34:10,2050,0,1,0,3,18,85.7,5.27,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Playoffs,25,2009-03-04,Traktor,Atlant,1,5,Standard,74,0,0,0,15,33:56,2036,0,1,0,3,12,80.0,5.3,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-09-13,Traktor,Atlant,3,4,Standard,74,0,0,0,11,20:37,1237,0,0,0,3,8,72.7,8.73,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-09-15,Traktor,Severstal,6,4,Standard,74,0,0,0,29,60:00,3600,1,0,0,4,25,86.2,4.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-09-17,Traktor,SKA,3,2,Standard,74,0,0,0,33,60:00,3600,1,0,0,2,31,93.9,2.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-09-20,Traktor,Avtomobilist,4,3,Standard,74,0,0,0,28,60:00,3600,1,0,0,3,25,89.3,3.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-09-24,Metallurg Mg,Traktor,4,2,Standard,74,0,0,0,25,57:58,3478,0,1,0,3,22,88.0,3.11,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-09-26,Avtomobilist,Traktor,2,3,Standard,74,0,0,0,17,44:47,2687,1,0,0,0,17,100.0,0.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-10-01,Metallurg Nk,Traktor,0,3,Standard,74,0,0,0,24,60:00,3600,1,0,0,0,24,100.0,0.0,1
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-10-03,Amur,Traktor,1,2,Standard,74,0,0,0,29,60:00,3600,1,0,0,1,28,96.6,1.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-10-05,Sibir,Traktor,6,2,Standard,74,0,0,0,18,33:27,2007,0,1,0,3,15,83.3,5.38,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-10-08,Traktor,Dynamo M,2,4,Standard,74,0,0,0,30,59:40,3580,0,1,0,3,27,90.0,3.02,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-10-10,Traktor,Dinamo Mn,4,6,Standard,74,0,0,0,23,58:08,3488,0,1,0,4,19,82.6,4.13,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-10-12,Traktor,Dinamo R,5,4,Shootouts,74,0,0,0,27,33:11,1991,0,0,0,4,23,85.2,7.23,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-10-20,Ak Bars,Traktor,3,2,Overtime,74,0,0,0,32,61:47,3707,0,1,0,3,29,90.6,2.91,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-10-22,Lada,Traktor,3,2,Standard,74,0,0,0,22,59:40,3580,0,1,0,3,19,86.4,3.02,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-10-25,Traktor,Neftekhimik,4,6,Standard,74,0,0,0,27,38:30,2310,0,0,0,4,23,85.2,6.23,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-10-27,Traktor,Spartak,4,3,Shootouts,74,0,0,0,40,65:00,3900,0,0,1,3,37,92.5,2.77,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-10-29,Traktor,Lokomotiv,1,6,Standard,74,0,0,0,13,20:00,1200,0,1,0,4,9,69.2,12.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-11-12,Salavat Yulaev,Traktor,5,0,Standard,74,0,0,0,37,60:00,3600,0,1,0,5,32,86.5,5.0,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-11-14,Avangard,Traktor,6,1,Standard,74,0,0,0,14,28:04,1684,0,0,0,1,13,92.9,2.14,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2009/2010,Regular season,25,2009-11-16,Barys,Traktor,3,5,Standard,74,0,0,0,34,60:00,3600,1,0,0,3,31,91.2,3.0,0
